stage,gin,barcode,induct_at_ms,print_station_at_ms,verification_at_ms,expected_printer,expected_verification_barcode,expected_outcome,required_log_markers
1,1,PNA-STG1-0001,0,3000,6000,,PNA-STG1-0001123,ship,"Gin: 1 barcode: PNA-STG1-0001 | Label data stored for Barcode: PNA-STG1-0001 | Sending Label to printer : PNA-STG1-0001 | [Verification SUCCESS] GIN 1 matches expected barcode PNA-STG1-0001123"
1,2,PNA-STG1-0002,6000,9000,12000,,PNA-STG1-0002123,ship,"Gin: 2 barcode: PNA-STG1-0002 | Label data stored for Barcode: PNA-STG1-0002 | Sending Label to printer : PNA-STG1-0002 | [Verification SUCCESS] GIN 2 matches expected barcode PNA-STG1-0002123"
1,3,PNA-STG1-0003,12000,15000,18000,,PNA-STG1-0003123,ship,"Gin: 3 barcode: PNA-STG1-0003 | Label data stored for Barcode: PNA-STG1-0003 | Sending Label to printer : PNA-STG1-0003 | [Verification SUCCESS] GIN 3 matches expected barcode PNA-STG1-0003123"
1,4,PNA-STG1-0004,18000,21000,24000,,PNA-STG1-0004123,ship,"Gin: 4 barcode: PNA-STG1-0004 | Label data stored for Barcode: PNA-STG1-0004 | Sending Label to printer : PNA-STG1-0004 | [Verification SUCCESS] GIN 4 matches expected barcode PNA-STG1-0004123"
1,5,PNA-STG1-0005,24000,27000,30000,,PNA-STG1-0005123,ship,"Gin: 5 barcode: PNA-STG1-0005 | Label data stored for Barcode: PNA-STG1-0005 | Sending Label to printer : PNA-STG1-0005 | [Verification SUCCESS] GIN 5 matches expected barcode PNA-STG1-0005123"
2,6,PNA-HP-0001,0,3000,6000,PNA2_151,PNA-HP-0001123,ship,"Gin: 6 barcode: PNA-HP-0001 | Label data stored for Barcode: PNA-HP-0001 | Sending Label to printer : PNA-HP-0001 at Printer: PNA2_151 | [Verification SUCCESS] GIN 6 matches expected barcode PNA-HP-0001123"
2,7,PNA-HP-0002,1000,4000,7000,PNA2_152,PNA-HP-0002123,ship,"Gin: 7 barcode: PNA-HP-0002 | Label data stored for Barcode: PNA-HP-0002 | Sending Label to printer : PNA-HP-0002 at Printer: PNA2_152 | [Verification SUCCESS] GIN 7 matches expected barcode PNA-HP-0002123"
2,8,PNA-HP-0003,2000,5000,8000,PNA2_151,PNA-HP-0003123,ship,"Gin: 8 barcode: PNA-HP-0003 | Label data stored for Barcode: PNA-HP-0003 | Sending Label to printer : PNA-HP-0003 at Printer: PNA2_151 | [Verification SUCCESS] GIN 8 matches expected barcode PNA-HP-0003123"
2,9,PNA-HP-0004,3000,6000,9000,PNA2_152,PNA-HP-0004123,ship,"Gin: 9 barcode: PNA-HP-0004 | Label data stored for Barcode: PNA-HP-0004 | Sending Label to printer : PNA-HP-0004 at Printer: PNA2_152 | [Verification SUCCESS] GIN 9 matches expected barcode PNA-HP-0004123"
2,10,PNA-HP-0005,4000,7000,10000,PNA2_151,PNA-HP-0005123,ship,"Gin: 10 barcode: PNA-HP-0005 | Label data stored for Barcode: PNA-HP-0005 | Sending Label to printer : PNA-HP-0005 at Printer: PNA2_151 | [Verification SUCCESS] GIN 10 matches expected barcode PNA-HP-0005123"
2,11,PNA-HP-0006,5000,8000,11000,PNA2_152,PNA-HP-0006123,ship,"Gin: 11 barcode: PNA-HP-0006 | Label data stored for Barcode: PNA-HP-0006 | Sending Label to printer : PNA-HP-0006 at Printer: PNA2_152 | [Verification SUCCESS] GIN 11 matches expected barcode PNA-HP-0006123"
2,12,PNA-HP-0007,6000,9000,12000,PNA2_151,PNA-HP-0007123,ship,"Gin: 12 barcode: PNA-HP-0007 | Label data stored for Barcode: PNA-HP-0007 | Sending Label to printer : PNA-HP-0007 at Printer: PNA2_151 | [Verification SUCCESS] GIN 12 matches expected barcode PNA-HP-0007123"
2,13,PNA-HP-0008,7000,10000,13000,PNA2_152,PNA-HP-0008123,ship,"Gin: 13 barcode: PNA-HP-0008 | Label data stored for Barcode: PNA-HP-0008 | Sending Label to printer : PNA-HP-0008 at Printer: PNA2_152 | [Verification SUCCESS] GIN 13 matches expected barcode PNA-HP-0008123"
2,14,PNA-HP-0009,8000,11000,14000,PNA2_151,PNA-HP-0009123,ship,"Gin: 14 barcode: PNA-HP-0009 | Label data stored for Barcode: PNA-HP-0009 | Sending Label to printer : PNA-HP-0009 at Printer: PNA2_151 | [Verification SUCCESS] GIN 14 matches expected barcode PNA-HP-0009123"
2,15,PNA-HP-0010,9000,12000,15000,PNA2_152,PNA-HP-0010123,ship,"Gin: 15 barcode: PNA-HP-0010 | Label data stored for Barcode: PNA-HP-0010 | Sending Label to printer : PNA-HP-0010 at Printer: PNA2_152 | [Verification SUCCESS] GIN 15 matches expected barcode PNA-HP-0010123"
2,16,PNA-HP-0011,10000,13000,16000,PNA2_151,PNA-HP-0011123,ship,"Gin: 16 barcode: PNA-HP-0011 | Label data stored for Barcode: PNA-HP-0011 | Sending Label to printer : PNA-HP-0011 at Printer: PNA2_151 | [Verification SUCCESS] GIN 16 matches expected barcode PNA-HP-0011123"
2,17,PNA-HP-0012,11000,14000,17000,PNA2_152,PNA-HP-0012123,ship,"Gin: 17 barcode: PNA-HP-0012 | Label data stored for Barcode: PNA-HP-0012 | Sending Label to printer : PNA-HP-0012 at Printer: PNA2_152 | [Verification SUCCESS] GIN 17 matches expected barcode PNA-HP-0012123"
2,18,PNA-HP-0013,12000,15000,18000,PNA2_151,PNA-HP-0013123,ship,"Gin: 18 barcode: PNA-HP-0013 | Label data stored for Barcode: PNA-HP-0013 | Sending Label to printer : PNA-HP-0013 at Printer: PNA2_151 | [Verification SUCCESS] GIN 18 matches expected barcode PNA-HP-0013123"
2,19,PNA-HP-0014,13000,16000,19000,PNA2_152,PNA-HP-0014123,ship,"Gin: 19 barcode: PNA-HP-0014 | Label data stored for Barcode: PNA-HP-0014 | Sending Label to printer : PNA-HP-0014 at Printer: PNA2_152 | [Verification SUCCESS] GIN 19 matches expected barcode PNA-HP-0014123"
2,20,PNA-HP-0015,14000,17000,20000,PNA2_151,PNA-HP-0015123,ship,"Gin: 20 barcode: PNA-HP-0015 | Label data stored for Barcode: PNA-HP-0015 | Sending Label to printer : PNA-HP-0015 at Printer: PNA2_151 | [Verification SUCCESS] GIN 20 matches expected barcode PNA-HP-0015123"
2,21,PNA-HP-0016,15000,18000,21000,PNA2_152,PNA-HP-0016123,ship,"Gin: 21 barcode: PNA-HP-0016 | Label data stored for Barcode: PNA-HP-0016 | Sending Label to printer : PNA-HP-0016 at Printer: PNA2_152 | [Verification SUCCESS] GIN 21 matches expected barcode PNA-HP-0016123"
